Algorithm,FS Method,Balancing Method,Normalized,class,accuracy,precision,recall,f1-score,support
Knn 3,Information Gain,Random Under Sampler,MinMax Scaler,1,,0.9,0.6923076923076923,0.7826086956521738,26
Knn 4,Information Gain,Random Under Sampler,MinMax Scaler,0,,0.13333333333333333,0.5,0.2105263157894737,4
Knn 4,Information Gain,Random Under Sampler,MinMax Scaler,1,,0.8666666666666667,0.5,0.6341463414634146,26
Knn 5,Information Gain,Random Under Sampler,MinMax Scaler,0,,0.26666666666666666,1.0,0.4210526315789474,4
Knn 5,Information Gain,Random Under Sampler,MinMax Scaler,1,,1.0,0.5769230769230769,0.7317073170731707,26
Knn mean,Information Gain,Random Under Sampler,MinMax Scaler,0,0.6374193548387097,0.24666666666666665,0.72,0.36345864661654137
Knn mean,Information Gain,Random Under Sampler,MinMax Scaler,1,0.6374193548387097,0.9342857142857142,0.623076923076923,0.7437755508782787
Knn 1,Information Gain,Random Under Sampler,Not Normalized,0,,0.3333333333333333,1.0,0.5,5
Knn 1,Information Gain,Random Under Sampler,Not Normalized,1,,1.0,0.6153846153846154,0.761904761904762,26
Knn 2,Information Gain,Random Under Sampler,Not Normalized,0,,0.3,0.6,0.4,5
Knn 2,Information Gain,Random Under Sampler,Not Normalized,1,,0.9047619047619048,0.7307692307692307,0.8085106382978723,26
Knn 3,Information Gain,Random Under Sampler,Not Normalized,0,,0.2,0.5,0.28571428571428575,4
Knn 3,Information Gain,Random Under Sampler,Not Normalized,1,,0.9,0.6923076923076923,0.7826086956521738,26
Knn 4,Information Gain,Random Under Sampler,Not Normalized,0,,0.13333333333333333,0.5,0.2105263157894737,4
Knn 4,Information Gain,Random Under Sampler,Not Normalized,1,,0.8666666666666667,0.5,0.6341463414634146,26
Knn 5,Information Gain,Random Under Sampler,Not Normalized,0,,0.26666666666666666,1.0,0.4210526315789474,4
Knn 5,Information Gain,Random Under Sampler,Not Normalized,1,,1.0,0.5769230769230769,0.7317073170731707,26
Knn mean,Information Gain,Random Under Sampler,Not Normalized,0,0.6374193548387097,0.24666666666666665,0.72,0.36345864661654137
Knn mean,Information Gain,Random Under Sampler,Not Normalized,1,0.6374193548387097,0.9342857142857142,0.623076923076923,0.7437755508782787
Knn 1,Information Gain,Not balanced,Standardization,0,,0.25,0.2,0.22222222222222224,5
Knn 1,Information Gain,Not balanced,Standardization,1,,0.8518518518518519,0.8846153846153846,0.8679245283018868,26
Knn 2,Information Gain,Not balanced,Standardization,0,,1.0,0.0,0.0,5
Knn 2,Information Gain,Not balanced,Standardization,1,,0.8387096774193549,1.0,0.9122807017543859,26
Knn 3,Information Gain,Not balanced,Standardization,0,,1.0,0.25,0.4,4
Knn 3,Information Gain,Not balanced,Standardization,1,,0.896551724137931,1.0,0.9454545454545454,26
Knn 4,Information Gain,Not balanced,Standardization,0,,1.0,0.5,0.6666666666666666,4
Knn 4,Information Gain,Not balanced,Standardization,1,,0.9285714285714286,1.0,0.962962962962963,26
Knn 5,Information Gain,Not balanced,Standardization,0,,1.0,0.0,0.0,4
Knn 5,Information Gain,Not balanced,Standardization,1,,0.8666666666666667,1.0,0.9285714285714286,26
