Algorithm,FS Method,Balancing Method,Normalized,class,accuracy,precision,recall,f1-score,support
SVM mean,Information Gain,Random Under Sampler,MinMax Scaler,1,0.704516129032258,0.923386727688787,0.7153846153846153,0.8051976732722075
SVM 1,Information Gain,Random Under Sampler,Not Normalized,0,,0.18181818181818182,0.4,0.25000000000000006,5
SVM 1,Information Gain,Random Under Sampler,Not Normalized,1,,0.85,0.6538461538461539,0.7391304347826088,26
SVM 2,Information Gain,Random Under Sampler,Not Normalized,0,,0.25,0.4,0.3076923076923077,5
SVM 2,Information Gain,Random Under Sampler,Not Normalized,1,,0.8695652173913043,0.7692307692307693,0.8163265306122449,26
SVM 3,Information Gain,Random Under Sampler,Not Normalized,0,,0.3,0.75,0.4285714285714285,4
SVM 3,Information Gain,Random Under Sampler,Not Normalized,1,,0.95,0.7307692307692307,0.8260869565217392,26
SVM 4,Information Gain,Random Under Sampler,Not Normalized,0,,0.2727272727272727,0.75,0.39999999999999997,4
SVM 4,Information Gain,Random Under Sampler,Not Normalized,1,,0.9473684210526315,0.6923076923076923,0.7999999999999999,26
SVM 5,Information Gain,Random Under Sampler,Not Normalized,0,,0.36363636363636365,1.0,0.5333333333333333,4
SVM 5,Information Gain,Random Under Sampler,Not Normalized,1,,1.0,0.7307692307692307,0.8444444444444443,26
SVM mean,Information Gain,Random Under Sampler,Not Normalized,0,0.704516129032258,0.2736363636363636,0.6599999999999999,0.38391941391941387
SVM mean,Information Gain,Random Under Sampler,Not Normalized,1,0.704516129032258,0.923386727688787,0.7153846153846153,0.8051976732722075
SVM 1,Information Gain,Not balanced,Standardization,0,,0.375,0.6,0.4615384615384615,5
SVM 1,Information Gain,Not balanced,Standardization,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 2,Information Gain,Not balanced,Standardization,0,,0.5,0.2,0.28571428571428575,5
SVM 2,Information Gain,Not balanced,Standardization,1,,0.8620689655172413,0.9615384615384616,0.9090909090909091,26
SVM 3,Information Gain,Not balanced,Standardization,0,,0.4,0.5,0.4444444444444445,4
SVM 3,Information Gain,Not balanced,Standardization,1,,0.92,0.8846153846153846,0.9019607843137256,26
SVM 4,Information Gain,Not balanced,Standardization,0,,0.5,0.5,0.5,4
SVM 4,Information Gain,Not balanced,Standardization,1,,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
SVM 5,Information Gain,Not balanced,Standardization,0,,0.5,0.75,0.6,4
SVM 5,Information Gain,Not balanced,Standardization,1,,0.9583333333333334,0.8846153846153846,0.9199999999999999,26
SVM mean,Information Gain,Not balanced,Standardization,0,0.8359139784946237,0.45499999999999996,0.51,0.4583394383394383
SVM mean,Information Gain,Not balanced,Standardization,1,0.8359139784946237,0.9153045400376734,0.8923076923076924,0.902254294724883
SVM 1,Information Gain,Not balanced,MinMax Scaler,0,,0.375,0.6,0.4615384615384615,5
SVM 1,Information Gain,Not balanced,MinMax Scaler,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 2,Information Gain,Not balanced,MinMax Scaler,0,,0.5,0.2,0.28571428571428575,5
SVM 2,Information Gain,Not balanced,MinMax Scaler,1,,0.8620689655172413,0.9615384615384616,0.9090909090909091,26
SVM 3,Information Gain,Not balanced,MinMax Scaler,0,,0.4,0.5,0.4444444444444445,4
SVM 3,Information Gain,Not balanced,MinMax Scaler,1,,0.92,0.8846153846153846,0.9019607843137256,26
SVM 4,Information Gain,Not balanced,MinMax Scaler,0,,0.5,0.5,0.5,4
SVM 4,Information Gain,Not balanced,MinMax Scaler,1,,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
SVM 5,Information Gain,Not balanced,MinMax Scaler,0,,0.5,0.75,0.6,4
SVM 5,Information Gain,Not balanced,MinMax Scaler,1,,0.9583333333333334,0.8846153846153846,0.9199999999999999,26
SVM mean,Information Gain,Not balanced,MinMax Scaler,0,0.8359139784946237,0.45499999999999996,0.51,0.4583394383394383
SVM mean,Information Gain,Not balanced,MinMax Scaler,1,0.8359139784946237,0.9153045400376734,0.8923076923076924,0.902254294724883
SVM 1,Information Gain,Not balanced,Not Normalized,0,,0.375,0.6,0.4615384615384615,5
SVM 1,Information Gain,Not balanced,Not Normalized,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 2,Information Gain,Not balanced,Not Normalized,0,,0.5,0.2,0.28571428571428575,5
SVM 2,Information Gain,Not balanced,Not Normalized,1,,0.8620689655172413,0.9615384615384616,0.9090909090909091,26
SVM 3,Information Gain,Not balanced,Not Normalized,0,,0.4,0.5,0.4444444444444445,4
SVM 3,Information Gain,Not balanced,Not Normalized,1,,0.92,0.8846153846153846,0.9019607843137256,26
SVM 4,Information Gain,Not balanced,Not Normalized,0,,0.5,0.5,0.5,4
SVM 4,Information Gain,Not balanced,Not Normalized,1,,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
SVM 5,Information Gain,Not balanced,Not Normalized,0,,0.5,0.75,0.6,4
SVM 5,Information Gain,Not balanced,Not Normalized,1,,0.9583333333333334,0.8846153846153846,0.9199999999999999,26
SVM mean,Information Gain,Not balanced,Not Normalized,0,0.8359139784946237,0.45499999999999996,0.51,0.4583394383394383
SVM mean,Information Gain,Not balanced,Not Normalized,1,0.8359139784946237,0.9153045400376734,0.8923076923076924,0.902254294724883
SVM 1,Fisher Score,Random Over Sampler,Standardization,0,,0.0,0.0,0.0,5
SVM 1,Fisher Score,Random Over Sampler,Standardization,1,,0.8076923076923077,0.8076923076923077,0.8076923076923077,26
SVM 2,Fisher Score,Random Over Sampler,Standardization,0,,0.6,0.6,0.6,5
SVM 2,Fisher Score,Random Over Sampler,Standardization,1,,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
SVM 3,Fisher Score,Random Over Sampler,Standardization,0,,0.2,0.25,0.22222222222222224,4
SVM 3,Fisher Score,Random Over Sampler,Standardization,1,,0.88,0.8461538461538461,0.8627450980392156,26
SVM 4,Fisher Score,Random Over Sampler,Standardization,0,,0.2857142857142857,0.5,0.36363636363636365,4
SVM 4,Fisher Score,Random Over Sampler,Standardization,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 5,Fisher Score,Random Over Sampler,Standardization,0,,0.5,0.75,0.6,4
SVM 5,Fisher Score,Random Over Sampler,Standardization,1,,0.9583333333333334,0.8846153846153846,0.9199999999999999,26
SVM mean,Fisher Score,Random Over Sampler,Standardization,0,0.7896774193548387,0.31714285714285717,0.42000000000000004,0.35717171717171714
SVM mean,Fisher Score,Random Over Sampler,Standardization,1,0.7896774193548387,0.8964292084726868,0.853846153846154,0.8741314371902608
SVM 1,Fisher Score,Random Over Sampler,MinMax Scaler,0,,0.0,0.0,0.0,5
SVM 1,Fisher Score,Random Over Sampler,MinMax Scaler,1,,0.8076923076923077,0.8076923076923077,0.8076923076923077,26
SVM 2,Fisher Score,Random Over Sampler,MinMax Scaler,0,,0.6,0.6,0.6,5
SVM 2,Fisher Score,Random Over Sampler,MinMax Scaler,1,,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
SVM 3,Fisher Score,Random Over Sampler,MinMax Scaler,0,,0.2,0.25,0.22222222222222224,4
SVM 3,Fisher Score,Random Over Sampler,MinMax Scaler,1,,0.88,0.8461538461538461,0.8627450980392156,26
SVM 4,Fisher Score,Random Over Sampler,MinMax Scaler,0,,0.2857142857142857,0.5,0.36363636363636365,4
SVM 4,Fisher Score,Random Over Sampler,MinMax Scaler,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 5,Fisher Score,Random Over Sampler,MinMax Scaler,0,,0.5,0.75,0.6,4
SVM 5,Fisher Score,Random Over Sampler,MinMax Scaler,1,,0.9583333333333334,0.8846153846153846,0.9199999999999999,26
SVM mean,Fisher Score,Random Over Sampler,MinMax Scaler,0,0.7896774193548387,0.31714285714285717,0.42000000000000004,0.35717171717171714
SVM mean,Fisher Score,Random Over Sampler,MinMax Scaler,1,0.7896774193548387,0.8964292084726868,0.853846153846154,0.8741314371902608
SVM 1,Fisher Score,Random Over Sampler,Not Normalized,0,,0.0,0.0,0.0,5
SVM 1,Fisher Score,Random Over Sampler,Not Normalized,1,,0.8076923076923077,0.8076923076923077,0.8076923076923077,26
SVM 2,Fisher Score,Random Over Sampler,Not Normalized,0,,0.6,0.6,0.6,5
SVM 2,Fisher Score,Random Over Sampler,Not Normalized,1,,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
SVM 3,Fisher Score,Random Over Sampler,Not Normalized,0,,0.2,0.25,0.22222222222222224,4
SVM 3,Fisher Score,Random Over Sampler,Not Normalized,1,,0.88,0.8461538461538461,0.8627450980392156,26
SVM 4,Fisher Score,Random Over Sampler,Not Normalized,0,,0.2857142857142857,0.5,0.36363636363636365,4
SVM 4,Fisher Score,Random Over Sampler,Not Normalized,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 5,Fisher Score,Random Over Sampler,Not Normalized,0,,0.5,0.75,0.6,4
SVM 5,Fisher Score,Random Over Sampler,Not Normalized,1,,0.9583333333333334,0.8846153846153846,0.9199999999999999,26
SVM mean,Fisher Score,Random Over Sampler,Not Normalized,0,0.7896774193548387,0.31714285714285717,0.42000000000000004,0.35717171717171714
SVM mean,Fisher Score,Random Over Sampler,Not Normalized,1,0.7896774193548387,0.8964292084726868,0.853846153846154,0.8741314371902608
SVM 1,Fisher Score,Random Under Sampler,Standardization,0,,0.18181818181818182,0.4,0.25000000000000006,5
SVM 1,Fisher Score,Random Under Sampler,Standardization,1,,0.85,0.6538461538461539,0.7391304347826088,26
SVM 2,Fisher Score,Random Under Sampler,Standardization,0,,0.25,0.6,0.35294117647058826,5
SVM 2,Fisher Score,Random Under Sampler,Standardization,1,,0.8947368421052632,0.6538461538461539,0.7555555555555555,26
SVM 3,Fisher Score,Random Under Sampler,Standardization,0,,0.25,0.75,0.375,4
SVM 3,Fisher Score,Random Under Sampler,Standardization,1,,0.9444444444444444,0.6538461538461539,0.7727272727272727,26
SVM 4,Fisher Score,Random Under Sampler,Standardization,0,,0.2,0.5,0.28571428571428575,4
SVM 4,Fisher Score,Random Under Sampler,Standardization,1,,0.9,0.6923076923076923,0.7826086956521738,26
SVM 5,Fisher Score,Random Under Sampler,Standardization,0,,0.2727272727272727,0.75,0.39999999999999997,4
SVM 5,Fisher Score,Random Under Sampler,Standardization,1,,0.9473684210526315,0.6923076923076923,0.7999999999999999,26
SVM mean,Fisher Score,Random Under Sampler,Standardization,0,0.658279569892473,0.2309090909090909,0.6,0.3327310924369748
SVM mean,Fisher Score,Random Under Sampler,Standardization,1,0.658279569892473,0.9073099415204678,0.6692307692307693,0.7700043917435222
SVM 1,Fisher Score,Random Under Sampler,MinMax Scaler,0,,0.18181818181818182,0.4,0.25000000000000006,5
SVM 1,Fisher Score,Random Under Sampler,MinMax Scaler,1,,0.85,0.6538461538461539,0.7391304347826088,26
SVM 2,Fisher Score,Random Under Sampler,MinMax Scaler,0,,0.25,0.6,0.35294117647058826,5
SVM 2,Fisher Score,Random Under Sampler,MinMax Scaler,1,,0.8947368421052632,0.6538461538461539,0.7555555555555555,26
SVM 3,Fisher Score,Random Under Sampler,MinMax Scaler,0,,0.25,0.75,0.375,4
SVM 3,Fisher Score,Random Under Sampler,MinMax Scaler,1,,0.9444444444444444,0.6538461538461539,0.7727272727272727,26
SVM 4,Fisher Score,Random Under Sampler,MinMax Scaler,0,,0.2,0.5,0.28571428571428575,4
SVM 4,Fisher Score,Random Under Sampler,MinMax Scaler,1,,0.9,0.6923076923076923,0.7826086956521738,26
SVM 5,Fisher Score,Random Under Sampler,MinMax Scaler,0,,0.2727272727272727,0.75,0.39999999999999997,4
SVM 5,Fisher Score,Random Under Sampler,MinMax Scaler,1,,0.9473684210526315,0.6923076923076923,0.7999999999999999,26
SVM mean,Fisher Score,Random Under Sampler,MinMax Scaler,0,0.658279569892473,0.2309090909090909,0.6,0.3327310924369748
SVM mean,Fisher Score,Random Under Sampler,MinMax Scaler,1,0.658279569892473,0.9073099415204678,0.6692307692307693,0.7700043917435222
SVM 1,Fisher Score,Random Under Sampler,Not Normalized,0,,0.18181818181818182,0.4,0.25000000000000006,5
SVM 1,Fisher Score,Random Under Sampler,Not Normalized,1,,0.85,0.6538461538461539,0.7391304347826088,26
SVM 2,Fisher Score,Random Under Sampler,Not Normalized,0,,0.25,0.6,0.35294117647058826,5
SVM 2,Fisher Score,Random Under Sampler,Not Normalized,1,,0.8947368421052632,0.6538461538461539,0.7555555555555555,26
SVM 3,Fisher Score,Random Under Sampler,Not Normalized,0,,0.25,0.75,0.375,4
SVM 3,Fisher Score,Random Under Sampler,Not Normalized,1,,0.9444444444444444,0.6538461538461539,0.7727272727272727,26
SVM 4,Fisher Score,Random Under Sampler,Not Normalized,0,,0.2,0.5,0.28571428571428575,4
SVM 4,Fisher Score,Random Under Sampler,Not Normalized,1,,0.9,0.6923076923076923,0.7826086956521738,26
SVM 5,Fisher Score,Random Under Sampler,Not Normalized,0,,0.2727272727272727,0.75,0.39999999999999997,4
SVM 5,Fisher Score,Random Under Sampler,Not Normalized,1,,0.9473684210526315,0.6923076923076923,0.7999999999999999,26
SVM mean,Fisher Score,Random Under Sampler,Not Normalized,0,0.658279569892473,0.2309090909090909,0.6,0.3327310924369748
SVM mean,Fisher Score,Random Under Sampler,Not Normalized,1,0.658279569892473,0.9073099415204678,0.6692307692307693,0.7700043917435222
SVM 1,Fisher Score,Not balanced,Standardization,0,,0.0,0.0,0.0,5
SVM 1,Fisher Score,Not balanced,Standardization,1,,0.8076923076923077,0.8076923076923077,0.8076923076923077,26
SVM 2,Fisher Score,Not balanced,Standardization,0,,0.6,0.6,0.6,5
SVM 2,Fisher Score,Not balanced,Standardization,1,,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
SVM 3,Fisher Score,Not balanced,Standardization,0,,0.2,0.25,0.22222222222222224,4
SVM 3,Fisher Score,Not balanced,Standardization,1,,0.88,0.8461538461538461,0.8627450980392156,26
SVM 4,Fisher Score,Not balanced,Standardization,0,,0.2857142857142857,0.5,0.36363636363636365,4
SVM 4,Fisher Score,Not balanced,Standardization,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 5,Fisher Score,Not balanced,Standardization,0,,0.5,0.75,0.6,4
SVM 5,Fisher Score,Not balanced,Standardization,1,,0.9583333333333334,0.8846153846153846,0.9199999999999999,26
SVM mean,Fisher Score,Not balanced,Standardization,0,0.7896774193548387,0.31714285714285717,0.42000000000000004,0.35717171717171714
SVM mean,Fisher Score,Not balanced,Standardization,1,0.7896774193548387,0.8964292084726868,0.853846153846154,0.8741314371902608
SVM 1,Fisher Score,Not balanced,MinMax Scaler,0,,0.0,0.0,0.0,5
SVM 1,Fisher Score,Not balanced,MinMax Scaler,1,,0.8076923076923077,0.8076923076923077,0.8076923076923077,26
SVM 2,Fisher Score,Not balanced,MinMax Scaler,0,,0.6,0.6,0.6,5
SVM 2,Fisher Score,Not balanced,MinMax Scaler,1,,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
SVM 3,Fisher Score,Not balanced,MinMax Scaler,0,,0.2,0.25,0.22222222222222224,4
SVM 3,Fisher Score,Not balanced,MinMax Scaler,1,,0.88,0.8461538461538461,0.8627450980392156,26
SVM 4,Fisher Score,Not balanced,MinMax Scaler,0,,0.2857142857142857,0.5,0.36363636363636365,4
SVM 4,Fisher Score,Not balanced,MinMax Scaler,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 5,Fisher Score,Not balanced,MinMax Scaler,0,,0.5,0.75,0.6,4
SVM 5,Fisher Score,Not balanced,MinMax Scaler,1,,0.9583333333333334,0.8846153846153846,0.9199999999999999,26
SVM mean,Fisher Score,Not balanced,MinMax Scaler,0,0.7896774193548387,0.31714285714285717,0.42000000000000004,0.35717171717171714
SVM mean,Fisher Score,Not balanced,MinMax Scaler,1,0.7896774193548387,0.8964292084726868,0.853846153846154,0.8741314371902608
SVM 1,Fisher Score,Not balanced,Not Normalized,0,,0.0,0.0,0.0,5
SVM 1,Fisher Score,Not balanced,Not Normalized,1,,0.8076923076923077,0.8076923076923077,0.8076923076923077,26
SVM 2,Fisher Score,Not balanced,Not Normalized,0,,0.6,0.6,0.6,5
SVM 2,Fisher Score,Not balanced,Not Normalized,1,,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
SVM 3,Fisher Score,Not balanced,Not Normalized,0,,0.2,0.25,0.22222222222222224,4
SVM 3,Fisher Score,Not balanced,Not Normalized,1,,0.88,0.8461538461538461,0.8627450980392156,26
SVM 4,Fisher Score,Not balanced,Not Normalized,0,,0.2857142857142857,0.5,0.36363636363636365,4
SVM 4,Fisher Score,Not balanced,Not Normalized,1,,0.9130434782608695,0.8076923076923077,0.8571428571428572,26
SVM 5,Fisher Score,Not balanced,Not Normalized,0,,0.5,0.75,0.6,4
SVM 5,Fisher Score,Not balanced,Not Normalized,1,,0.9583333333333334,0.8846153846153846,0.9199999999999999,26
SVM mean,Fisher Score,Not balanced,Not Normalized,0,0.7896774193548387,0.31714285714285717,0.42000000000000004,0.35717171717171714
SVM mean,Fisher Score,Not balanced,Not Normalized,1,0.7896774193548387,0.8964292084726868,0.853846153846154,0.8741314371902608
Decision Tree 1,Pearson Coeff,Random Over Sampler,Standardization,0,,1.0,1.0,1.0,5
Decision Tree 1,Pearson Coeff,Random Over Sampler,Standardization,1,,1.0,1.0,1.0,26
Decision Tree 2,Pearson Coeff,Random Over Sampler,Standardization,0,,1.0,1.0,1.0,5
Decision Tree 2,Pearson Coeff,Random Over Sampler,Standardization,1,,1.0,1.0,1.0,26
Decision Tree 3,Pearson Coeff,Random Over Sampler,Standardization,0,,1.0,1.0,1.0,4
Decision Tree 3,Pearson Coeff,Random Over Sampler,Standardization,1,,1.0,1.0,1.0,26
Decision Tree 4,Pearson Coeff,Random Over Sampler,Standardization,0,,1.0,1.0,1.0,4
Decision Tree 4,Pearson Coeff,Random Over Sampler,Standardization,1,,1.0,1.0,1.0,26
Decision Tree 5,Pearson Coeff,Random Over Sampler,Standardization,0,,1.0,1.0,1.0,4
Decision Tree 5,Pearson Coeff,Random Over Sampler,Standardization,1,,1.0,1.0,1.0,26
Decision Tree mean,Pearson Coeff,Random Over Sampler,Standardization,0,1.0,1.0,1.0,1.0
Decision Tree mean,Pearson Coeff,Random Over Sampler,Standardization,1,1.0,1.0,1.0,1.0
Decision Tree 1,Pearson Coeff,Random Over Sampler,MinMax Scaler,0,,1.0,1.0,1.0,5
Decision Tree 1,Pearson Coeff,Random Over Sampler,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree 2,Pearson Coeff,Random Over Sampler,MinMax Scaler,0,,1.0,1.0,1.0,5
Decision Tree 2,Pearson Coeff,Random Over Sampler,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree 3,Pearson Coeff,Random Over Sampler,MinMax Scaler,0,,1.0,1.0,1.0,4
Decision Tree 3,Pearson Coeff,Random Over Sampler,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree 4,Pearson Coeff,Random Over Sampler,MinMax Scaler,0,,1.0,1.0,1.0,4
Decision Tree 4,Pearson Coeff,Random Over Sampler,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree 5,Pearson Coeff,Random Over Sampler,MinMax Scaler,0,,1.0,1.0,1.0,4
Decision Tree 5,Pearson Coeff,Random Over Sampler,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree mean,Pearson Coeff,Random Over Sampler,MinMax Scaler,0,1.0,1.0,1.0,1.0
Decision Tree mean,Pearson Coeff,Random Over Sampler,MinMax Scaler,1,1.0,1.0,1.0,1.0
Decision Tree 1,Pearson Coeff,Random Over Sampler,Not Normalized,0,,1.0,1.0,1.0,5
Decision Tree 1,Pearson Coeff,Random Over Sampler,Not Normalized,1,,1.0,1.0,1.0,26
Decision Tree 2,Pearson Coeff,Random Over Sampler,Not Normalized,0,,1.0,1.0,1.0,5
Decision Tree 2,Pearson Coeff,Random Over Sampler,Not Normalized,1,,1.0,1.0,1.0,26
Decision Tree 3,Pearson Coeff,Random Over Sampler,Not Normalized,0,,1.0,1.0,1.0,4
Decision Tree 3,Pearson Coeff,Random Over Sampler,Not Normalized,1,,1.0,1.0,1.0,26
Decision Tree 4,Pearson Coeff,Random Over Sampler,Not Normalized,0,,1.0,1.0,1.0,4
Decision Tree 4,Pearson Coeff,Random Over Sampler,Not Normalized,1,,1.0,1.0,1.0,26
Decision Tree 5,Pearson Coeff,Random Over Sampler,Not Normalized,0,,1.0,1.0,1.0,4
Decision Tree 5,Pearson Coeff,Random Over Sampler,Not Normalized,1,,1.0,1.0,1.0,26
Decision Tree mean,Pearson Coeff,Random Over Sampler,Not Normalized,0,1.0,1.0,1.0,1.0
Decision Tree mean,Pearson Coeff,Random Over Sampler,Not Normalized,1,1.0,1.0,1.0,1.0
Decision Tree 1,Pearson Coeff,Random Under Sampler,Standardization,0,,1.0,1.0,1.0,5
Decision Tree 1,Pearson Coeff,Random Under Sampler,Standardization,1,,1.0,1.0,1.0,26
Decision Tree 2,Pearson Coeff,Random Under Sampler,Standardization,0,,1.0,1.0,1.0,5
Decision Tree 2,Pearson Coeff,Random Under Sampler,Standardization,1,,1.0,1.0,1.0,26
Decision Tree 3,Pearson Coeff,Random Under Sampler,Standardization,0,,1.0,1.0,1.0,4
Decision Tree 3,Pearson Coeff,Random Under Sampler,Standardization,1,,1.0,1.0,1.0,26
Decision Tree 4,Pearson Coeff,Random Under Sampler,Standardization,0,,1.0,1.0,1.0,4
Decision Tree 4,Pearson Coeff,Random Under Sampler,Standardization,1,,1.0,1.0,1.0,26
Decision Tree 5,Pearson Coeff,Random Under Sampler,Standardization,0,,1.0,1.0,1.0,4
Decision Tree 5,Pearson Coeff,Random Under Sampler,Standardization,1,,1.0,1.0,1.0,26
Decision Tree mean,Pearson Coeff,Random Under Sampler,Standardization,0,1.0,1.0,1.0,1.0
Decision Tree mean,Pearson Coeff,Random Under Sampler,Standardization,1,1.0,1.0,1.0,1.0
Decision Tree 1,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,,1.0,1.0,1.0,5
Decision Tree 1,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree 2,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,,1.0,1.0,1.0,5
Decision Tree 2,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree 3,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,,1.0,1.0,1.0,4
Decision Tree 3,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree 4,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,,1.0,1.0,1.0,4
Decision Tree 4,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree 5,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,,1.0,1.0,1.0,4
Decision Tree 5,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree mean,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,1.0,1.0,1.0,1.0
Decision Tree mean,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,1.0,1.0,1.0,1.0
Decision Tree 1,Pearson Coeff,Random Under Sampler,Not Normalized,0,,1.0,1.0,1.0,5
Decision Tree 1,Pearson Coeff,Random Under Sampler,Not Normalized,1,,1.0,1.0,1.0,26
Decision Tree 2,Pearson Coeff,Random Under Sampler,Not Normalized,0,,1.0,1.0,1.0,5
Decision Tree 2,Pearson Coeff,Random Under Sampler,Not Normalized,1,,1.0,1.0,1.0,26
Decision Tree 3,Pearson Coeff,Random Under Sampler,Not Normalized,0,,1.0,1.0,1.0,4
Decision Tree 3,Pearson Coeff,Random Under Sampler,Not Normalized,1,,1.0,1.0,1.0,26
Decision Tree 4,Pearson Coeff,Random Under Sampler,Not Normalized,0,,1.0,1.0,1.0,4
Decision Tree 4,Pearson Coeff,Random Under Sampler,Not Normalized,1,,1.0,1.0,1.0,26
Decision Tree 5,Pearson Coeff,Random Under Sampler,Not Normalized,0,,1.0,1.0,1.0,4
Decision Tree 5,Pearson Coeff,Random Under Sampler,Not Normalized,1,,1.0,1.0,1.0,26
Decision Tree mean,Pearson Coeff,Random Under Sampler,Not Normalized,0,1.0,1.0,1.0,1.0
Decision Tree mean,Pearson Coeff,Random Under Sampler,Not Normalized,1,1.0,1.0,1.0,1.0
Decision Tree 1,Pearson Coeff,Not balanced,Standardization,0,,1.0,1.0,1.0,5
Decision Tree 1,Pearson Coeff,Not balanced,Standardization,1,,1.0,1.0,1.0,26
Decision Tree 2,Pearson Coeff,Not balanced,Standardization,0,,1.0,1.0,1.0,5
Decision Tree 2,Pearson Coeff,Not balanced,Standardization,1,,1.0,1.0,1.0,26
Decision Tree 3,Pearson Coeff,Not balanced,Standardization,0,,1.0,1.0,1.0,4
Decision Tree 3,Pearson Coeff,Not balanced,Standardization,1,,1.0,1.0,1.0,26
Decision Tree 4,Pearson Coeff,Not balanced,Standardization,0,,1.0,1.0,1.0,4
Decision Tree 4,Pearson Coeff,Not balanced,Standardization,1,,1.0,1.0,1.0,26
Decision Tree 5,Pearson Coeff,Not balanced,Standardization,0,,1.0,1.0,1.0,4
Decision Tree 5,Pearson Coeff,Not balanced,Standardization,1,,1.0,1.0,1.0,26
Decision Tree mean,Pearson Coeff,Not balanced,Standardization,0,1.0,1.0,1.0,1.0
Decision Tree mean,Pearson Coeff,Not balanced,Standardization,1,1.0,1.0,1.0,1.0
Decision Tree 1,Pearson Coeff,Not balanced,MinMax Scaler,0,,1.0,1.0,1.0,5
Decision Tree 1,Pearson Coeff,Not balanced,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree 2,Pearson Coeff,Not balanced,MinMax Scaler,0,,1.0,1.0,1.0,5
Decision Tree 2,Pearson Coeff,Not balanced,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree 3,Pearson Coeff,Not balanced,MinMax Scaler,0,,1.0,1.0,1.0,4
Decision Tree 3,Pearson Coeff,Not balanced,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree 4,Pearson Coeff,Not balanced,MinMax Scaler,0,,1.0,1.0,1.0,4
Decision Tree 4,Pearson Coeff,Not balanced,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree 5,Pearson Coeff,Not balanced,MinMax Scaler,0,,1.0,1.0,1.0,4
Decision Tree 5,Pearson Coeff,Not balanced,MinMax Scaler,1,,1.0,1.0,1.0,26
Decision Tree mean,Pearson Coeff,Not balanced,MinMax Scaler,0,1.0,1.0,1.0,1.0
Decision Tree mean,Pearson Coeff,Not balanced,MinMax Scaler,1,1.0,1.0,1.0,1.0
Decision Tree 1,Pearson Coeff,Not balanced,Not Normalized,0,,1.0,1.0,1.0,5
Decision Tree 1,Pearson Coeff,Not balanced,Not Normalized,1,,1.0,1.0,1.0,26
Decision Tree 2,Pearson Coeff,Not balanced,Not Normalized,0,,1.0,1.0,1.0,5
Decision Tree 2,Pearson Coeff,Not balanced,Not Normalized,1,,1.0,1.0,1.0,26
Decision Tree 3,Pearson Coeff,Not balanced,Not Normalized,0,,1.0,1.0,1.0,4
Decision Tree 3,Pearson Coeff,Not balanced,Not Normalized,1,,1.0,1.0,1.0,26
Decision Tree 4,Pearson Coeff,Not balanced,Not Normalized,0,,1.0,1.0,1.0,4
Decision Tree 4,Pearson Coeff,Not balanced,Not Normalized,1,,1.0,1.0,1.0,26
Decision Tree 5,Pearson Coeff,Not balanced,Not Normalized,0,,1.0,1.0,1.0,4
Decision Tree 5,Pearson Coeff,Not balanced,Not Normalized,1,,1.0,1.0,1.0,26
